time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,roll,pitch,yaw,roll_dot,pitch_dot,yaw_dot,roll_ddot,pitch_ddot,yaw_ddot,quat_w,quat_x,quat_y,quat_z,quat_dot_w,quat_dot_x,quat_dot_y,quat_dot_z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,9.04756090147168e-11,0,-1.59341308842582e-09,3.62008776430299e-08,0,-6.36515933296819e-07,1.08655674349666e-05,0,-0.000190530466077313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,1.44930089554251e-09,0,-2.53589905889024e-08,2.9002826543315e-07,0,-5.0582631663578e-06,4.35460557664284e-05,0,-0.000755361119448337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03,7.34554313713734e-09,0,-1.27696044365004e-07,9.80246288619197e-07,0,-1.69578907436845e-05,9.81636793589248e-05,0,-0.00168444151270837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04,2.32419447791453e-08,0,-4.01429863634884e-07,2.32681818384852e-06,0,-3.99281457648269e-05,0.000174836049579643,0,-0.0029678416023341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,5.68066847440248e-08,0,-9.74818705522059e-07,4.5508603727542e-06,0,-7.74630743650668e-05,0.000273676195510568,0,-0.00459575113705754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06,1.17924681512146e-07,0,-2.01057276483173e-06,7.87459674266377e-06,0,-0.000132959216579841,0.000394792584660631,0,-0.00655847904623999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07,2.18708440045285e-07,0,-3.70488506189002e-06,1.25213131344295e-05,0,-0.000209716795092903,0.000538289143677861,0,-0.00884645282824597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08,3.73508444624029e-07,0,-6.28647418728355e-06,1.87153120373799e-05,0,-0.000310940897868227,0.00070426527906153,0,-0.0114502179388172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09,5.98923099670304e-07,0,-1.00156388423367e-05,2.66818674913931e-05,0,-0.000439742654665648,0.000892815897874309,0,-0.0143604371794464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,9.13808220626243e-07,0,-1.51833241141641e-05,3.66471801960918e-05,0,-0.000599140407440241,0.00110403142845441,0,-0.0175678900857515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.11,1.33928607696061e-06,0,-2.21101994241354e-05,4.88383328271588e-05,0,-0.000792060874625445,0.00133799784112774,0,-0.0210634723158493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.12,1.89875398937398e-06,0,-3.11457480885902e-05,6.34832455597753e-05,0,-0.00102134030929992,0.00159479666892006,0,-0.0248381950387297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.13,2.61789248327395e-06,0,-4.26673684306399e-05,8.08106317991798e-05,0,-0.00128972565123815,0.00187450502826911,0,-0.0288831843226295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.14,3.52467300059148e-06,0,-5.70794863818948e-05,0.000101049954118349,0,-0.00159987567284477,0.00217719563973677,0,-0.0331896805234061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,4.64936517200967e-06,0,-7.48126795129529e-05,0.000124431380402799,0,-0.00195436211897266,0.00250293684872122,0,-0.0377490376729119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16,6.02454365167623e-06,0,-9.63228124314882e-05,0.000151185740202511,0,-0.00235567084062476,0.0028517926461691,0,-0.0425527228673681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
